Vehicle Class,Year,S.No,Vehicle_Class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
ADAPTED VEHICLE,2001,1,ADAPTED VEHICLE,11,9,10,14,10,14,10,14,12,15,19,16,154
MOTOR CAB,2001,39,MOTOR CAB,"1,689","1,683","1,976","1,602","1,715","1,952","1,848","1,994","1,816","1,748","1,728","1,457","21,208"
MOTOR CAR,2001,40,MOTOR CAR,"49,299","45,150","54,337","45,426","49,465","44,529","44,220","47,322","41,347","41,650","43,793","35,677","5,42,215"
OMNI BUS (PRIVATE USE),2001,46,OMNI BUS (PRIVATE USE),"1,780","1,934","1,901","1,376","1,314","1,260","1,342","1,471","1,242","1,479","1,680","1,330","18,109"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2001,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),624,515,478,395,411,426,499,463,409,402,384,356,"5,362"
ADAPTED VEHICLE,2002,1,ADAPTED VEHICLE,18,16,17,16,24,11,23,16,16,13,12,14,196
MOTOR CAB,2002,38,MOTOR CAB,"2,355","2,350","2,504","2,267","1,878","1,835","2,196","1,971","2,098","2,233","1,915","1,580","25,182"
MOTOR CAR,2002,39,MOTOR CAR,"52,005","48,742","52,481","49,354","48,810","45,628","47,476","50,418","50,690","53,140","48,454","41,076","5,88,274"
OMNI BUS (PRIVATE USE),2002,45,OMNI BUS (PRIVATE USE),"1,582","1,637","1,290","1,505","1,384","1,106","1,275","1,099","1,264","1,469","1,179","1,260","16,050"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2002,49,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),437,156,415,415,393,463,403,358,398,381,407,379,"4,605"
ADAPTED VEHICLE,2003,1,ADAPTED VEHICLE,21,18,15,19,15,17,14,17,22,19,24,20,221
MOTOR CAB,2003,39,MOTOR CAB,"2,331","2,796","2,276","1,787","2,112","2,196","2,468","2,471","2,711","2,727","2,245","1,908","28,028"
MOTOR CAR,2003,40,MOTOR CAR,"58,035","50,423","65,447","51,687","58,639","57,013","60,929","56,850","58,666","64,601","57,957","55,850","6,96,097"
OMNI BUS (PRIVATE USE),2003,46,OMNI BUS (PRIVATE USE),"1,479","1,415","1,582","1,453","1,373","1,389","1,516","1,322","1,614","1,512","1,486","1,294","17,435"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2003,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),473,411,435,421,451,487,495,506,499,502,470,483,"5,633"
QUADRICYCLE (PRIVATE),2003,52,QUADRICYCLE (PRIVATE),0,0,0,0,0,0,0,0,0,0,1,0,1
ADAPTED VEHICLE,2004,1,ADAPTED VEHICLE,26,25,19,23,22,31,23,27,21,35,29,29,310
MOTOR CAB,2004,38,MOTOR CAB,"2,823","2,792","3,041","2,395","2,247","2,661","2,856","2,631","3,168","2,857","2,948","2,735","33,154"
MOTOR CAR,2004,39,MOTOR CAR,"77,848","64,351","78,321","75,724","65,893","69,713","75,361","64,921","71,525","69,512","79,068","76,504","8,68,741"
OMNI BUS (PRIVATE USE),2004,45,OMNI BUS (PRIVATE USE),"1,800","1,636","1,803","1,766","1,506","1,489","1,366","1,351","1,625","1,493","1,774","2,122","19,731"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2004,49,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),622,418,497,476,454,425,592,603,601,538,596,546,"6,368"
QUADRICYCLE (PRIVATE),2004,50,QUADRICYCLE (PRIVATE),0,0,0,0,1,0,0,0,0,0,0,0,1
ADAPTED VEHICLE,2005,1,ADAPTED VEHICLE,26,31,32,26,32,24,27,20,83,30,29,30,390
MOTOR CAB,2005,38,MOTOR CAB,"2,817","3,537","4,114","3,330","2,789","3,267","3,244","3,251","3,452","3,596","3,298","3,199","39,894"
MOTOR CAR,2005,39,MOTOR CAR,"79,227","71,868","84,255","74,208","76,853","73,856","75,620","76,405","79,277","88,534","76,318","78,127","9,34,548"
OMNI BUS (PRIVATE USE),2005,45,OMNI BUS (PRIVATE USE),"2,355","2,287","2,399","1,961","2,263","2,199","2,092","1,848","1,747","1,818","1,749","1,776","24,494"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2005,49,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),632,350,412,513,590,571,539,454,447,479,399,468,"5,854"
ADAPTED VEHICLE,2006,1,ADAPTED VEHICLE,25,29,44,29,35,33,21,36,39,26,38,52,407
MOTOR CAB,2006,39,MOTOR CAB,"4,449","4,328","4,629","3,398","3,836","4,007","4,034","4,484","4,511","3,843","4,434","4,136","50,089"
MOTOR CAR,2006,40,MOTOR CAR,"1,00,201","84,414","1,06,323","84,270","91,589","95,711","87,747","90,332","90,450","97,631","1,01,483","86,844","11,16,995"
OMNI BUS (PRIVATE USE),2006,46,OMNI BUS (PRIVATE USE),"2,213","1,970","2,215","1,920","2,196","2,064","1,817","1,870","2,037","1,696","2,142","1,594","23,734"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2006,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),631,444,435,407,532,574,583,616,585,548,591,483,"6,429"
ADAPTED VEHICLE,2007,1,ADAPTED VEHICLE,48,42,42,40,36,46,36,47,43,52,42,30,504
MOTOR CAB,2007,39,MOTOR CAB,"5,661","5,290","5,617","4,848","4,872","4,882","4,983","5,090","5,305","5,373","5,044","3,966","60,931"
MOTOR CAR,2007,40,MOTOR CAR,"1,20,100","1,06,611","1,22,787","99,470","1,09,865","1,00,872","1,07,221","1,12,835","1,07,463","1,12,397","1,29,110","1,00,026","13,28,757"
OMNI BUS (PRIVATE USE),2007,46,OMNI BUS (PRIVATE USE),"2,203","2,264","2,241","2,082","2,133","1,968","1,884","2,064","1,727","1,943","2,324","1,937","24,770"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2007,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),670,569,690,359,503,445,441,529,487,381,398,382,"5,854"
QUADRICYCLE (PRIVATE),2007,51,QUADRICYCLE (PRIVATE),1,0,0,0,0,0,0,0,0,0,0,0,1
ADAPTED VEHICLE,2008,1,ADAPTED VEHICLE,52,55,43,71,62,68,73,62,51,53,67,52,709
MOTOR CAB,2008,38,MOTOR CAB,"6,019","5,574","5,728","5,382","6,820","4,741","5,435","4,947","5,088","4,416","4,290","3,574","62,014"
MOTOR CAR,2008,39,MOTOR CAR,"1,42,453","1,14,858","1,18,429","1,27,430","1,37,347","1,11,564","1,16,921","1,01,584","1,07,382","1,18,635","1,13,329","96,248","14,06,180"
OMNI BUS (PRIVATE USE),2008,46,OMNI BUS (PRIVATE USE),"2,545","2,584","2,427","2,362","2,669","2,229","2,501","1,942","2,056","1,986","2,023","1,620","26,944"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2008,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),546,409,455,564,528,531,492,450,544,398,313,478,"5,708"
ADAPTED VEHICLE,2009,1,ADAPTED VEHICLE,53,39,61,65,62,94,95,65,141,86,95,163,"1,019"
MOTOR CAB,2009,40,MOTOR CAB,"4,941","4,793","5,834","5,362","5,251","5,578","6,009","5,770","5,824","7,178","6,462","6,027","69,029"
MOTOR CAR,2009,41,MOTOR CAR,"1,38,519","1,19,499","1,33,421","1,23,404","1,25,313","1,29,072","1,32,833","1,31,354","1,37,753","1,74,277","1,44,342","1,33,980","16,23,767"
OMNI BUS (PRIVATE USE),2009,47,OMNI BUS (PRIVATE USE),"2,126","2,245","2,516","2,268","2,311","2,133","2,356","1,982","1,973","2,850","2,620","2,164","27,544"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2009,51,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),436,422,569,491,448,547,646,697,540,576,487,571,"6,430"
